! ---------------------------------------------------------------------------
! molecules.dat -- atomic and molecular dissociation equilibria
!
! Bookkeeping file for ATLAS/SYNTHE chemical equilibrium. Two kinds of rows:
!
! ATOMIC / ION STUB ROWS
!   Used to register an atomic species (and its ionization stages) with the
!   equilibrium solver, even when no dissociation reaction is involved.
!   Format: 10-char label + species code (with two decimal places).
!   The species code encodes one atomic number (1..99) and an optional
!   ionization stage as the decimal part:
!     HI         1.00    = neutral H
!     HII        1.01    = H+      (singly ionized)
!     CI         6.00    = neutral C
!     CVI        6.05    = C^5+    (5x ionized)
!     FeI       26.00    = neutral Fe
!
! MOLECULAR ROWS
!   Format (fixed-width, 90 columns total):
!     Cols  1-10 : human-readable label       A10  (e.g. 'OH', 'H2O', 'CaOH')
!     Cols 11-22 : species code               F12.2
!     Col   23   : space gap (1X)
!     Cols 24-30 : E1   (signed; eV)          F7.3
!     Cols 31-42 : E2                         E12.4
!     Cols 43-54 : E3                         E12.4
!     Cols 55-66 : E4                         E12.4
!     Cols 67-78 : E5                         E12.4
!     Cols 79-90 : E6                         E12.4
!     Cols 91+   : free-form comment / provenance (ignored on read)
!
!   Species code encodes the constituent atoms by concatenating their atomic
!   numbers in pairs of digits, padded with leading zeros to keep two digits
!   per atom. Examples:
!     OH              108.00   atoms 1, 8
!     CO              608.00   atoms 6, 8
!     CaH             120.00   atoms 1, 20  (decoding starts at leading nonzero)
!     H3+           10101.01   atoms 1, 1, 1; ionized
!     CH4       101010106.00   atoms 1, 1, 1, 1, 6
!
!   The label column is for human readability only; the species code is
!   the source of truth for chemistry. Diatomics labeled per BC16/IUPAC
!   convention (TiO not OTi); atoms labeled in Roman-numeral spectroscopic
!   form (HI = neutral hydrogen, HII = H+, etc.).
!
!   The polynomial gives the equilibrium constant K_eq(T) for the dissociation
!   reaction (molecule -> atoms in their ground states) via:
!
!     ln K_eq(T) = E1 / (k_B*T_eV)
!                  - E2
!                  + E3*T - E4*T^2 + E5*T^3 - E6*T^4
!                  - 1.5*(N - 2*ION - 1)*ln(T)
!
!   where N = number of constituent atoms, ION = decimal ionization stage,
!   k_B*T_eV = (Boltzmann constant)*T in eV. K_eq is in cgs number-density
!   units, so n_mol = K_eq * prod(n_atom) / n_e^ION.
!
!   The leading constant E1 is essentially the dissociation energy D_0 (eV)
!   for neutrals; for molecular ions it is D_0(AB+) - IE(ionizing atom).
!
! READING CONVENTION
!   - Lines starting with `!` (after optional leading whitespace) are skipped.
!   - Blank lines are skipped.
!   - End of file ends the molecule list (no `0.0` terminator required).
!   - Trailing text after column 90 is treated as comment.
!
! REFERENCES (used in provenance comments at the right of each row)
!   BC16     = Barklem & Collet 2016, A&A 588, A96. Equilibrium constants
!              and partition functions for diatomic molecules from
!              statistical-mechanics calculations using compiled
!              spectroscopic data. http://dx.doi.org/10.1051/0004-6361/201526961
!   CCCBDB   = NIST Computational Chemistry Comparison and Benchmark
!              Database. https://cccbdb.nist.gov/
!   ATcT     = Active Thermochemical Tables (Ruscic et al., Argonne).
!              Self-consistent thermochemical network values. Squib codes
!              like '2006Rus/Pin' identify primary sources within CCCBDB.
!   ATcT1.220 = ATcT version 1.220 (December 2025). Most recent version
!              with silicon compounds added (Bross & Ruscic, to be published).
!              Used for SiO2, SiH4, C3, and CH3.
!   CODATA   = Cox/Wagman/Medvedev 1989, "CODATA Key Values for
!              Thermodynamics" (recommended atomic enthalpies of formation).
!   Gurvich  = Gurvich/Veyts/Alcock 1989-1996, "Thermodynamic Properties
!              of Individual Substances".
!   JANAF    = NIST-JANAF Thermochemical Tables (Chase 1998).
!   Koput2023 = Koput, J. Mol. Spectrosc. 395, 111805 (2023). State-of-the-art
!              CCSD(T) ab initio with septuple-zeta basis, including core-electron
!              correlation, higher-order electron correlation (CCSDTQ), scalar
!              relativistic, and adiabatic effects. Used for MgOH.
!   ST84     = Sauval & Tatum (1984) - source of many of the original Kurucz values
! ---------------------------------------------------------------------------

SiO             814.00   8.183  4.8482E+01  1.5553E-03  2.9270E-07  3.3106E-11  1.5597E-15   ! BC16 Table 1; was 8.260
SO              816.00   5.329  4.7493E+01  1.7257E-03  3.6371E-07  5.0705E-11  2.9300E-15   ! BC16 Table 1; was 5.359
CaO             820.00   3.986  4.6516E+01  2.3415E-03  5.7606E-07  1.0223E-10  7.2806E-15   ! BC16 Table 1; was 4.760
TiO             822.00   6.869  4.7769E+01  2.1368E-03  4.8935E-07  6.1006E-11  3.1236E-15   ! BC16 Table 1; was 6.870
VO              823.00   6.566  4.7617E+01  1.0876E-03  1.7055E-07  1.6406E-11  8.1447E-16   ! BC16 Table 1; was 6.410
FeO             826.00   4.181  4.6551E+01  1.5838E-03  3.1740E-07  3.9635E-11  2.1789E-15   ! BC16 Table 1; was 4.200
F-              900.00   3.399  3.7551E+01 -2.9184E-04 -1.1414E-07 -2.0819E-11 -1.4085E-15   ! Kurucz original
MgS            1216.00   2.225  4.6796E+01  3.9803E-03  9.4542E-07  1.2089E-10  6.2056E-15   ! BC16 Table 1; was 2.400
Al-            1300.00   0.346  3.5531E+01 -3.7596E-04 -2.5139E-07 -5.2240E-11 -3.5563E-15   ! Kurucz original
AlS            1316.00   3.400  4.7214E+01  2.5392E-03  6.7606E-07  9.9652E-11  5.6716E-15   ! BC16 Table 1; was 3.840
SiS            1416.00   6.358  4.7977E+01  1.8341E-03  3.9455E-07  5.1100E-11  2.7117E-15   ! BC16 Table 1; was 6.420
S-             1600.00   2.077  3.6385E+01 -1.2387E-04 -5.1457E-08 -1.0011E-11 -6.7042E-16   ! Kurucz original
S2             1616.00   4.369  4.7747E+01  1.9271E-03  4.1963E-07  5.6886E-11  3.1854E-15   ! BC16 Table 1; was 4.369
CaS            1620.00   3.430  4.5835E+01  2.2131E-03  4.3330E-07  6.9347E-11  5.0501E-15   ! BC16 Table 1; was 3.460
FeS            1626.00   3.31   4.6416E+01  2.5933E-03  6.8170E-07  9.8815E-11  5.7791E-15   ! Kurucz original
Cl-            1700.00   3.616  3.7416E+01 -2.9016E-04 -8.8805E-08 -1.3209E-11 -7.5220E-16   ! Kurucz original
Fe-            2600.00   0.250  3.5999E+01 -7.9764E-04 -2.9422E-07 -5.2961E-11 -3.3781E-15   ! Kurucz original
H2-           10100.00   1.976  8.1380E+01  2.1429E-03  5.2145E-07  7.7080E-11  4.5316E-15   ! Kurucz original
H3+           10101.01  -4.747  6.2927E+01  2.2248E-04 -1.3408E-07 -1.9664E-11 -8.2468E-16   ! Kurucz original
CH2           10106.00   7.849  9.2455E+01  3.1402E-03  6.6306E-07  9.2666E-11  5.3624E-15   ! Kurucz original
NH2           10107.00   7.355  9.1785E+01  2.9965E-03  6.8466E-07  1.0378E-10  6.3167E-15   ! Kurucz original
H2O           10108.00   9.512  9.3179E+01  2.6725E-03  5.7830E-07  8.5268E-11  5.1311E-15   ! CCCBDB (2006Rus/Pin); was 9.512
H2S           10116.00   7.510  9.2064E+01  2.7883E-03  5.3505E-07  7.2159E-11  4.1344E-15   ! CCCBDB (CODATA); was 7.508
C2H           10606.00  12.069  9.5977E+01  3.5151E-03  7.1109E-07  9.7013E-11  5.5098E-15   ! Kurucz original
HCN           10607.00  13.117  9.6092E+01  3.4150E-03  6.7686E-07  8.9342E-11  4.9893E-15   ! CCCBDB (Gurvich); was 13.085
HCO           10608.00  11.721  9.4226E+01  3.0760E-03  5.9489E-07  7.6261E-11  4.1452E-15   ! Kurucz original
HNO           10708.00   8.614  9.4263E+01  3.2515E-03  6.7110E-07  8.9566E-11  5.0184E-15   ! Kurucz original
OH-           10800.00   6.224  8.3222E+01  1.6725E-03  4.4245E-07  7.0038E-11  4.3248E-15   ! Kurucz original
HO2           10808.00   7.108  9.4186E+01  3.0836E-03  6.1755E-07  8.0811E-11  4.4544E-15   ! Kurucz original
NaOH          10811.00   7.856  9.2701E+01  4.3703E-03  1.0975E-06  1.6241E-10  9.6222E-15   ! CCCBDB (JANAF); was 8.286
MgOH          10812.00   7.581  9.1448E+01  3.9729E-03  9.4759E-07  1.3688E-10  8.0099E-15   ! Koput2023; was 6.823
